zone,cases,pct_of_total,risk_level,risk_score
JP Nagar PS,285,9.7,Low,10
Jayanagar PS,284,9.6,Low,10
Banashankari PS,206,7,Low,10
Basavanagudi PS,202,6.9,Low,10
Whitefield PS,179,6.1,High,95
Vijayanagar PS,172,5.8,Low,10
Marathahalli PS,168,5.7,Low,10
Rajajinagar PS,163,5.5,Low,10
Peenya PS,157,5.3,High,93
Indiranagar PS,147,5,High,95
VV Puram PS,143,4.9,Low,28
Hebbal PS,136,4.6,Low,30
Girinagar PS,128,4.3,High,95
Chickpet PS,125,4.2,Medium,46
Yelahanka PS,119,4,Low,10
RT Nagar PS,118,4,Low,32
Commercial St PS,118,4,High,85
Cubbon Park PS,98,3.3,Low,10
